#OTUID	C_2	C_34	C_36	C_49	P10_11	P10_13	P10_18	P10_54	P10_55	P10_57	P20_1	P20_3	P20_16	P20_37	P20_41	P20_52	W10_14	W10_15	W10_21	W10_31	W10_33	W10_53	W20_4	W20_8	W20_23	W20_50	W20_51	W20_56	taxonomy
382	4213333.333	4436666.667	6406666.667	7060000	4573333.333	3130000	9316666.667	7793333.333	4890000	3276666.667	3690000	5343333.333	3466666.667	3923333.333	4156666.667	3203333.333	4023333.333	10773333.33	4300000	5756666.667	3793333.333	5236666.667	3713333.333	2573333.333	1686666.667	654333.3333	194666.6667	351333.3333	 biglycan preproprotein [Homo sapiens]
383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4491000	4980000	0	0	0	0	0	0	0	0	0	0	 biorientation of chromosomes in cell division protein 1-like 1 [Homo sapiens]
384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393333.3333	263000	107000	422500	368333.3333	255333.3333	315500	78000	196500	134666.6667	159500	135000	 bleomycin hydrolase [Homo sapiens]
385	0	0	0	6843333.333	0	0	0	0	0	0	3941666.667	0	0	8230000	0	0	0	0	4386333.333	0	0	0	0	8016666.667	0	0	0	0	 BPI fold-containing family A member 1 precursor [Homo sapiens]
386	636333.3333	561000	296000	953000	1036333.333	432333.3333	369666.6667	461666.6667	0	2783000	0	0	2713333.333	0	141000	371000	403000	455000	585000	652000	0	0	669333.3333	0	341000	0	0	0	 brain-specific angiogenesis inhibitor 2 precursor [Homo sapiens]
387	0	0	0	0	0	0	0	0	0	0	2143333.333	1216666.667	813333.3333	1970000	0	1275666.667	466666.6667	1885000	2106666.667	2470000	608500	0	0	0	0	0	0	0	 brain-specific serine protease 4 precursor [Homo sapiens]
388	0	0	0	0	383000	0	0	0	317000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 brain acid soluble protein 1 [Homo sapiens]
389	2123333.333	1520000	0	967333.3333	0	0	0	0	0	0	0	237000	1104333.333	2550000	1307000	666666.6667	1217666.667	436650	856666.6667	3500000	2070000	546333.3333	1393333.333	808500	506666.6667	44666.66667	24766.66667	57333.33333	" branched-chain-amino-acid aminotransferase, mitochondrial isoform a precursor [Homo sapiens]"
390	422000	478000	0	221000	112000	305333.3333	130450	350500	0	528000	0	0	0	0	0	0	0	175000	0	0	0	244000	0	0	0	0	0	0	 breast cancer metastasis-suppressor 1 isoform 1 [Homo sapiens]
391	0	0	0	0	2590500	0	4850000	0	0	5427666.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 breast carcinoma-amplified sequence 1 [Homo sapiens]
392	889500	305000	1155000	801000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 brefeldin A-inhibited guanine nucleotide-exchange protein 3 [Homo sapiens]
393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135133.3333	122000	 BRISC complex subunit Abro1 [Homo sapiens]
394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3026666.667	1790000	2556666.667	593000	25366.66667	445000	 bromodomain and WD repeat-containing protein 1 isoform A [Homo sapiens]
395	0	0	0	0	1343500	1465000	1010666.667	788000	468666.6667	346000	952000	1372333.333	491000	510666.6667	839500	947333.3333	630000	47333.33333	808000	353000	0	167500	1260000	139000	0	445500	0	256266.6667	 BTB/POZ domain-containing protein 16 [Homo sapiens]
396	0	12733333.33	4176000	10050000	2038000	11750000	0	11086666.67	8218000	20766666.67	5036666.667	0	4190000	4084100	1323000	0	0	2233333.333	5951666.667	0	1792333.333	0	6810000	5276000	1886000	870500	1455000	1322500	 BTB/POZ domain-containing protein 18 [Homo sapiens]
397	389333.3333	525000	69333.33333	488333.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 BTB/POZ domain-containing protein KCTD17 isoform 3 [Homo sapiens]
398	0	0	0	0	590000	1244000	0	0	91333.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 BTB/POZ domain-containing protein KCTD2 [Homo sapiens]
399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315000	2.00E+06	0	0	0	954000	0	0	0	0	0	0	 BTB/POZ domain-containing protein KCTD7 isoform 1 [Homo sapiens]
400	67333.33333	1369666.667	0	2186666.667	1749333.333	1270000	799333.3333	201666.6667	2286666.667	1858000	291666.6667	363333.3333	640500	153000	0	386333.3333	728000	2646500	319000	756333.3333	920000	0	0	0	0	0	0	0	" C-1-tetrahydrofolate synthase, cytoplasmic [Homo sapiens]"
401	2426666.667	2286666.667	2276666.667	2053333.333	2393333.333	2140000	2195000	826666.6667	1690000	3143666.667	1713333.333	1525000	2510000	1520000	2056666.667	1900000	0	1790000	0	1716666.667	1316666.667	1755000	0	0	0	0	0	0	 C-Myc-binding protein [Homo sapiens]
402	0	0	0	0	107333.3333	0	0	0	175333.3333	3156666.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 C1orf151-NBL1 read-through protein isoform a [Homo sapiens]
403	0	0	0	0	165333.3333	933333.3333	0	0	178666.6667	0	0	430000	0	0	539333.3333	659000	2169000	0	0	411333.3333	0	1352333.333	1029333.333	542500	476000	281333.3333	26866.66667	0	 C4b-binding protein alpha chain precursor [Homo sapiens]
404	0	0	4610000	6793333.333	4493333.333	0	850000	0	4380000	7515000	0	3393333.333	0	0	0	0	0	3190000	7493333.333	2107000	5630000	2143333.333	2646666.667	2803333.333	3450000	1356000	3646666.667	2053333.333	 Ca(2+)-independent N-acyltransferase isoform 2 [Homo sapiens]
405	1813000	2724033.333	816500	2213000	2170666.667	0	1210500	0	24200	0	1515000	0	2973333.333	0	0	151666.6667	0	1438666.667	969666.6667	914333.3333	0	431066.6667	0	0	0	0	0	0	 cadherin-1 preproprotein [Homo sapiens]
406	3830000	3206666.667	3103333.333	4976666.667	17633333.33	2086666.667	3533333.333	2540000	2150000	3786666.667	4966666.667	2126666.667	3230000	3450000	3240000	2193333.333	1643333.333	1960000	3910000	4533333.333	4750000	2200000	2180000	1730000	1050000	1923333.333	747333.3333	913000	 cadherin-17 precursor [Homo sapiens]
407	787333.3333	859000	0	1472000	317000	1302666.667	554500	2350000	2572666.667	455333.3333	0	0	0	0	0	0	1781000	445333.3333	122666.6667	170333.3333	0	4630000	619666.6667	157050	262500	3479666.667	676000	802666.6667	 cadherin-23 isoform 1 precursor [Homo sapiens]
408	452333.3333	813000	664333.3333	614333.3333	4825666.667	1183000	901000	664666.6667	5466000	788000	565666.6667	486000	606333.3333	301666.6667	542333.3333	336666.6667	310666.6667	327666.6667	620000	941000	314333.3333	339333.3333	452666.6667	401000	322666.6667	4170000	26433.33333	158233.3333	 cadherin-like and PC-esterase domain-containing protein 1 isoform 1 precursor [Homo sapiens]
409	0	0	0	4414666.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 calcineurin-binding protein cabin-1 isoform a [Homo sapiens]
410	0	818666.6667	0	1200000	611666.6667	79333.33333	304000	0	1007000	0	404000	0	0	0	556500	0	303000	0	623333.3333	415666.6667	769333.3333	0	576500	0	0	75400	0	0	 calcineurin-like phosphoesterase domain-containing protein 1 isoform a [Homo sapiens]
411	58166666.67	16833333.33	14066666.67	54733333.33	47166666.67	31333333.33	29233333.33	10256666.67	4770000	34966666.67	58500000	15766666.67	16766666.67	17366666.67	10010000	9733333.333	19933333.33	7963333.333	35100000	17633333.33	11706666.67	19166666.67	14933333.33	10713333.33	2393333.333	21300000	4863333.333	13700000	 calcium-activated chloride channel regulator 1 precursor [Homo sapiens]
412	2412666.667	3006666.667	1501333.333	2055333.333	0	284000	0	0	841333.3333	0	1665000	0	1891200	671266.6667	2750000	0	5820000	5163333.333	3136666.667	3113333.333	1010000	4106666.667	0	1213333.333	1800000	559000	638333.3333	1309666.667	 calcium-activated chloride channel regulator 4 precursor [Homo sapiens]
413	2096666.667	3684666.667	1635333.333	2196666.667	3600000	1287000	1483333.333	1302666.667	811666.6667	3543333.333	1489333.333	881333.3333	3391000	3866666.667	2120666.667	3199500	4321333.333	2496666.667	2631333.333	1277666.667	2840000	3153666.667	1816666.667	2771000	0	384666.6667	114333.3333	535333.3333	 calcium-binding mitochondrial carrier protein SCaMC-1 isoform 1 [Homo sapiens]
414	3239000	2660000	2850000	2700000	1898333.333	1025933.333	1570000	1876666.667	1640000	1348000	385833.3333	954333.3333	87033.33333	472066.6667	801666.6667	777666.6667	2493333.333	2623333.333	2043333.333	1593333.333	823333.3333	1849633.333	1252666.667	1055000	467966.6667	409666.6667	274000	210500	 calcium-binding protein 39-like [Homo sapiens]
415	0	0	0	0	178900	46800	126733.3333	60333.33333	112766.6667	0	110166.6667	106500	465700	287366.6667	109000	97600	83900	49850	363666.6667	0	39000	52310	31600	12333.33333	27450	20466.66667	90933.33333	0	 calcium-binding protein 39 [Homo sapiens]
416	801000	951666.6667	673000	1280000	1516666.667	702000	570333.3333	680000	1455000	1089666.667	1216666.667	708000	665666.6667	788000	485333.3333	588333.3333	594666.6667	2189333.333	1490666.667	1200000	1146666.667	414666.6667	0	0	0	0	0	0	 calcium-independent phospholipase A2-gamma isoform 3 [Homo sapiens]
417	0	0	0	0	0	0	0	0	0	0	1413333.333	0	0	1222000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 calcium-transporting ATPase type 2C member 1 isoform 2b [Homo sapiens]
418	320666.6667	375333.3333	2189500	1494333.333	1468000	2096666.667	1271333.333	1137333.333	502333.3333	672000	1135000	927333.3333	964333.3333	525666.6667	428666.6667	1158000	2850000	0	1173666.667	576666.6667	2905333.333	196500	714000	0	574666.6667	198333.3333	60066.66667	180333.3333	 calcium-transporting ATPase type 2C member 2 isoform 2 [Homo sapiens]
419	0	0	0	0	0	0	0	0	0	0	656666.6667	614500	1125000	0	898000	403333.3333	759000	308000	433333.3333	712000	1685000	650000	802000	247666.6667	200333.3333	166500	10033.33333	0	" calcium uniporter protein, mitochondrial isoform 1 precursor [Homo sapiens]"
420	0	0	0	0	683000	292000	817666.6667	369333.3333	599333.3333	239333.3333	93666.66667	508666.6667	693333.3333	417666.6667	268666.6667	2237666.667	0	0	0	0	0	0	0	0	0	0	0	0	 calcium/calmodulin-dependent protein kinase type II subunit alpha isoform 1 [Homo sapiens]
421	0	0	0	0	0	0	0	0	682666.6667	149666.6667	0	0	0	0	0	0	0	79666.66667	0	63000	594666.6667	0	0	0	0	0	0	0	 calcium/calmodulin-dependent protein kinase type IV [Homo sapiens]
422	34666666.67	35966666.67	27333333.33	48500000	15100000	27366666.67	28233333.33	32100000	23366666.67	6966666.667	27900000	30100000	33200000	34733333.33	28800000	27700000	30966666.67	25133333.33	35266666.67	35633333.33	25833333.33	33466666.67	28100000	20833333.33	10140000	1843333.333	1457666.667	2520000	 calcyclin-binding protein isoform 1 [Homo sapiens]
423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928000	800666.6667	472666.6667	496666.6667	195333.3333	229500	 calmodulin-binding transcription activator 2 isoform 2 [Homo sapiens]
424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3796666.667	0	0	0	0	0	0	0	0	0	0	 calmodulin-regulated spectrin-associated protein 2 [Homo sapiens]
425	6883333.333	7426666.667	8503333.333	7300000	6840000	7283333.333	5813333.333	6690000	4833333.333	0	12533333.33	4136666.667	5813333.333	7073333.333	8753333.333	7416666.667	5773333.333	5326666.667	6166666.667	6773333.333	3640000	2776666.667	4586666.667	3830000	7443333.333	386000	0	221500	 calmodulin [Homo sapiens]
426	5383333.333	5846666.667	5370000	7926666.667	11543333.33	6123333.333	4513333.333	4983333.333	8936666.667	6600000	4703333.333	4510000	4186666.667	3150000	3873333.333	2430000	3570000	2286666.667	3736666.667	5453333.333	5396666.667	2400000	3706666.667	2036666.667	1953333.333	886666.6667	466666.6667	1355333.333	 calnexin precursor [Homo sapiens]
427	608666.6667	63333.33333	0	728000	1630000	78666.66667	2393333.333	0	379666.6667	3120000	521000	267000	516000	1182333.333	244500	0	1071333.333	473500	1058666.667	574333.3333	1509333.333	913666.6667	610000	55000	436000	0	272333.3333	0	 calpain-1 catalytic subunit [Homo sapiens]
428	389333.3333	695666.6667	206000	488333.3333	836333.3333	312333.3333	547666.6667	291333.3333	453333.3333	3502666.667	0	0	0	0	0	0	519333.3333	509000	579666.6667	476666.6667	396666.6667	284333.3333	216333.3333	211666.6667	388000	182333.3333	253333.3333	364666.6667	 calpain-14 [Homo sapiens]
429	2095000	461000	1530000	518666.6667	967666.6667	324000	1616666.667	2005333.333	0	619333.3333	322500	1061000	1964000	974333.3333	1649666.667	1570666.667	1863333.333	1146333.333	1643333.333	972000	348000	297666.6667	744000	237000	732333.3333	174333.3333	358333.3333	0	 calpain-2 catalytic subunit isoform 1 [Homo sapiens]
430	7183333.333	12166666.67	11046666.67	5113333.333	5926666.667	11423333.33	6873333.333	5183333.333	3800000	7143333.333	6383333.333	4616666.667	6943333.333	5886666.667	4300000	7990000	6333333.333	5053333.333	6823333.333	6363333.333	3753333.333	5296666.667	4533333.333	4916666.667	3896666.667	1996666.667	1264000	1639000	 calpain small subunit 1 [Homo sapiens]
431	1099333.333	701333.3333	543000	545666.6667	735000	622000	676666.6667	279666.6667	498000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 calpain small subunit 2 [Homo sapiens]
432	505333333.3	438666666.7	537666666.7	1.89E+08	123666666.7	394333333.3	406333333.3	389666666.7	161666666.7	550333333.3	359333333.3	2.37E+08	4.23E+08	354333333.3	294333333.3	4.18E+08	4.25E+08	468333333.3	351666666.7	265333333.3	100100000	391333333.3	222333333.3	3.12E+08	2.04E+08	92666666.67	108933333.3	1.52E+08	 calponin-1 [Homo sapiens]
433	18866666.67	12503333.33	14300000	7883333.333	5996666.667	14786666.67	13833333.33	7063333.333	9163333.333	14266666.67	20333333.33	15866666.67	30366666.67	21166666.67	23666666.67	27634666.67	39566666.67	35566666.67	40466666.67	33766666.67	11333333.33	35466666.67	13700000	12833333.33	11100000	6026666.667	6286666.667	11810000	 calponin-2 isoform a [Homo sapiens]
434	18700000	11753333.33	13966666.67	7180000	9796666.667	26400000	28900000	16766666.67	15933333.33	25900000	0	0	0	0	0	0	0	0	0	0	0	0	22700000	20600000	18766666.67	10443333.33	10060000	15386666.67	 calponin-3 isoform 1 [Homo sapiens]
435	0	0	2944000	0	1124000	0	0	0	3763333.333	6386666.667	0	0	0	0	0	0	3920000	0	0	0	0	4340000	2435333.333	2268000	5870000	0	0	0	 calponin homology domain-containing protein 2 [Homo sapiens]
436	0	0	0	0	0	0	0	0	0	0	4166666.667	3576666.667	3743333.333	3316666.667	3876666.667	3380000	5153333.333	3143333.333	3670000	4466666.667	4053333.333	4333333.333	0	0	0	0	0	0	 calreticulin-3 precursor [Homo sapiens]
437	47333333.33	53933333.33	51833333.33	44200000	74900000	6.90E+07	41933333.33	44333333.33	47433333.33	34500000	34333333.33	29233333.33	26633333.33	27833333.33	23533333.33	21166666.67	38066666.67	23633333.33	28400000	39400000	27433333.33	25100000	29333333.33	22566666.67	18100000	10110000	4303333.333	7833333.333	 calreticulin precursor [Homo sapiens]
438	0	617000	101000	344333.3333	3340000	4066666.667	0	633500	222333.3333	0	0	228000	445333.3333	7557000	7415000	0	0	7431500	0	262000	0	0	47666.66667	3866833.333	0	2200333.333	41333.33333	7140000	 calumenin isoform c precursor [Homo sapiens]
439	0	0	6650000	2806333.333	18328666.67	0	392333.3333	234666.6667	1293500	457500	0	423333.3333	939333.3333	1082333.333	296333.3333	277666.6667	0	0	0	0	0	0	219666.6667	1101000	87666.66667	211500	336900	383000	 cAMP-dependent protein kinase catalytic subunit alpha isoform 1 [Homo sapiens]
440	1286333.333	1470000	1053666.667	1093000	1070333.333	1159666.667	941666.6667	2106666.667	1263333.333	3940000	864000	826000	2210000	794666.6667	648000	1523333.333	1366666.667	833333.3333	1129333.333	1383000	608333.3333	473333.3333	735666.6667	947666.6667	330666.6667	248666.6667	237000	154700	 cAMP-dependent protein kinase type I-alpha regulatory subunit isoform a [Homo sapiens]
441	62666.66667	3011000	6117000	187666.6667	1679000	339666.6667	0	397500	327500	849333.3333	0	0	0	0	0	0	351333.3333	0	0	130000	300666.6667	14600000	3537666.667	0	405500	140000	134650	39000	 cAMP-dependent protein kinase type I-beta regulatory subunit [Homo sapiens]
442	1507000	1673333.333	1760000	1780000	2773333.333	1713333.333	1651000	2686666.667	1233333.333	2460000	1341000	1360000	1266666.667	1716666.667	1026666.667	1410000	1663333.333	906333.3333	1643333.333	2030000	1320000	1288500	1247333.333	834666.6667	948333.3333	523000	175500	336000	 cAMP-dependent protein kinase type II-alpha regulatory subunit [Homo sapiens]
443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00E+05	201000	478333.3333	303500	150166.6667	0	0	0	0	0	0	0	" cAMP-specific 3',5'-cyclic phosphodiesterase 4A isoform 3 [Homo sapiens]"
444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55000	201000	478333.3333	472333.3333	187666.6667	0	0	0	0	0	0	0	" cAMP-specific 3',5'-cyclic phosphodiesterase 4B isoform 3 [Homo sapiens]"
445	4313333.333	2945000	2246000	1664333.333	1932000	1384666.667	1836666.667	5953333.333	3023333.333	1033333.333	1580000	482433.3333	1435000	1360000	2383333.333	1925000	3945000	2066666.667	2480333.333	3750000	1350000	1928000	1266000	1232666.667	1216000	644000	434333.3333	463000	 cancer-associated gene 1 protein isoform 3 [Homo sapiens]
446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2234000	836666.6667	0	0	779800	0	0	0	29966.66667	770066.6667	0	1920000	 CAP-Gly domain-containing linker protein 1 isoform a [Homo sapiens]
447	0	0	0	0	0	1626333.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 CAP-Gly domain-containing linker protein 2 isoform 2 [Homo sapiens]
448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110000	134666.6667	1075000	0	1113333.333	2475000	 cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 [Homo sapiens]
449	1397666.667	1302333.333	1770000	809000	784000	355666.6667	467400	226333.3333	331666.6667	26100	1125000	550333.3333	275333.3333	0	845000	0	420666.6667	842000	0	180333.3333	885666.6667	126400	0	765466.6667	0	0	0	0	 caprin-1 isoform 1 [Homo sapiens]
450	0	0	0	2650000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 carabin isoform 1 [Homo sapiens]
451	0	0	0	0	836333.3333	0	0	0	0	1036666.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" carbamoyl-phosphate synthase [ammonia], mitochondrial isoform a precursor [Homo sapiens]"
452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493000	168333.3333	0	164000	247333.3333	592000	0	443333.3333	1265666.667	263000	51800	92700	 carbonic anhydrase-related protein 10 precursor [Homo sapiens]
453	61200000	39600000	29933333.33	46300000	2592333.333	29100000	52833333.33	31300000	13433333.33	61600000	57466666.67	43100000	46600000	32300000	18666666.67	24500000	29800000	11820000	56233333.33	48400000	26633333.33	54200000	54900000	22800000	5700000	23900000	11630000	15600000	 carbonic anhydrase 1 [Homo sapiens]
454	0	0	0	0	450000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 carbonic anhydrase 12 isoform 1 precursor [Homo sapiens]
455	11483333.33	9966666.667	10873333.33	2.00E+07	19500000	5356666.667	23733333.33	2426666.667	746666.6667	13666666.67	4470000	3583333.333	11166666.67	1640000	11233333.33	8700000	3916666.667	7556666.667	6156666.667	1679333.333	7186666.667	5743333.333	5426666.667	2350000	1240000	7916666.667	1910000	2916666.667	 carbonic anhydrase 2 [Homo sapiens]
456	11780000	24966666.67	15866666.67	18666666.67	26500000	21466666.67	1302000	21800000	18500000	37366666.67	17566666.67	21333333.33	10743333.33	15933333.33	10306666.67	2753333.333	22066666.67	3566666.667	18466666.67	9860000	18733333.33	11696666.67	30966666.67	26966666.67	8596666.667	3180000	1148666.667	2400000	 carbonic anhydrase 3 [Homo sapiens]
457	2146666.667	0	2300000	1936666.667	1696666.667	1147333.333	1686666.667	0	1259333.333	30733333.33	920333.3333	0	874000	673666.6667	0	0	1264666.667	705333.3333	1350000	1473333.333	0	1161000	833333.3333	1027666.667	507000	540666.6667	698666.6667	352333.3333	 carbonic anhydrase 4 precursor [Homo sapiens]
458	957666.6667	1110000	759000	926500	1820000	0	606333.3333	306000	258333.3333	0	356666.6667	240333.3333	54333.33333	227000	274666.6667	108000	0	261666.6667	116333.3333	0	444500	0	4730000	1706666.667	648666.6667	1223666.667	466666.6667	860333.3333	 carbonyl reductase [NADPH] 1 isoform 1 [Homo sapiens]
459	0	0	0	0	2041333.333	1095333.333	1386666.667	3933666.667	1171666.667	143666.6667	1293333.333	961333.3333	481666.6667	414000	881666.6667	1106666.667	688333.3333	1201666.667	912000	2356666.667	2003333.333	1269000	1217333.333	880000	363333.3333	157333.3333	97333.33333	621500	 carbonyl reductase [NADPH] 3 [Homo sapiens]
460	322333.3333	134833.3333	75050	0	328000	0	0	0	0	0	0	244500	110166.6667	734333.3333	600333.3333	59000	0	0	0	0	0	0	0	0	0	0	0	0	 carboxymethylenebutenolidase homolog [Homo sapiens]
461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241200	0	 carboxypeptidase D isoform 1 precursor [Homo sapiens]
462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603333.3333	458666.6667	0	0	305666.6667	0	0	240333.3333	261000	 carboxypeptidase E preproprotein [Homo sapiens]
463	0	0	0	0	760666.6667	0	0	483500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4 precursor [Homo sapiens]
464	0	0	0	706000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 carcinoembryonic antigen-related cell adhesion molecule 16 precursor [Homo sapiens]
465	968000	796333.3333	0	420666.6667	2560000	0	0	0	0	0	510666.6667	0	713666.6667	0	570333.3333	525333.3333	0	0	421666.6667	0	0	363333.3333	0	0	0	0	0	0	 carcinoembryonic antigen-related cell adhesion molecule 21 isoform 2 precursor [Homo sapiens]
466	0	4404000	0	0	835000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176666.6667	663333.3333	0	306000	0	604500	 cardiomyopathy-associated protein 5 [Homo sapiens]
467	0	0	0	0	739666.6667	0	21250000	130000	0	0	0	0	105333.3333	0	221666.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	" carnitine O-palmitoyltransferase 2, mitochondrial precursor [Homo sapiens]"
468	0	0	0	0	3357333.333	1486333.333	0	0	2660000	0	2560000	1933666.667	1005000	1024000	0	0	0	0	0	0	0	0	2306666.667	1659000	0	0	0	0	 carnosine synthase 1 isoform 1 [Homo sapiens]
469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670666.6667	0	0	450333.3333	1831666.667	886666.6667	0	0	0	0	0	0	 carnosine synthase 1 isoform 2 [Homo sapiens]
470	0	0	0	0	0	0	0	0	0	0	162666.6667	8203500	2116666.667	2624666.667	1062666.667	954333.3333	0	0	0	0	0	0	0	0	0	0	0	0	 cartilage oligomeric matrix protein precursor [Homo sapiens]
471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523333.3333	0	141666.6667	160266.6667	462000	 cas scaffolding protein family member 4 isoform a [Homo sapiens]
472	0	2210000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 casein kinase I isoform delta isoform 1 [Homo sapiens]
473	0	0	0	0	110500	1140000	6510000	4085000	5086666.667	7250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 casein kinase II subunit alpha' [Homo sapiens]
474	0	0	0	0	96000	970000	6435000	3565000	3810000	4695000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 casein kinase II subunit alpha isoform a [Homo sapiens]
475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145666.6667	0	0	0	0	0	0	0	0	 caskin-1 [Homo sapiens]
476	4400000	588666.6667	2776666.667	830666.6667	7053333.333	251333.3333	1978333.333	568000	2317666.667	427500	1577000	2181333.333	752000	839000	441000	276333.3333	2471000	72000	474000	281000	267000	9.00E+05	204500	384933.3333	31600	0	0	53666.66667	 caspase-1 isoform alpha precursor [Homo sapiens]
477	0	0	0	0	0	0	0	0	1854066.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 caspase-10 isoform 1 preproprotein [Homo sapiens]
478	0	0	0	0	0	0	0	0	0	0	4233333.333	1433666.667	2830000	3945000	2696666.667	3910000	3986666.667	2450000	1386666.667	2725666.667	3490000	2940000	2925000	1713333.333	949666.6667	662000	200400	199000	 caspase-4 isoform alpha precursor [Homo sapiens]
479	154000	0	0	256333.3333	510666.6667	0	0	0	527333.3333	0	75333.33333	60333.33333	266133.3333	299000	92000	0	0	0	187000	268000	1091166.667	63666.66667	0	0	0	0	0	0	 caspase-6 isoform alpha preproprotein [Homo sapiens]
480	27578033.33	69100000	10908600	13585000	65733333.33	0	0	0	758166.6667	0	0	4286666.667	3040166.667	35600000	317100	36966666.67	6.10E+07	0	10533333.33	2950000	7913666.667	0	26200000	0	1134700	0	0	1103333.333	 caspase-7 isoform alpha precursor [Homo sapiens]
481	2853333.333	3760000	4403333.333	3376666.667	4770000	2343333.333	2193333.333	2273333.333	4780000	4703333.333	2860000	6133333.333	1526666.667	1464000	5126666.667	1357666.667	3143333.333	2743333.333	3353333.333	4366666.667	6050000	1438000	8033333.333	3380000	1181666.667	1276666.667	528000	1082333.333	 catalase [Homo sapiens]
482	4950000	3893333.333	6316666.667	4380000	7956666.667	4476666.667	3973333.333	2816666.667	4586666.667	10080000	3.00E+06	3903333.333	2886666.667	1600000	2336666.667	2496666.667	4316666.667	2453333.333	2573333.333	4246666.667	2783333.333	2266666.667	3.00E+06	2296666.667	1640000	2123333.333	602333.3333	1583333.333	 catechol O-methyltransferase isoform MB-COMT [Homo sapiens]
483	0	0	0	0	413666.6667	0	1126500	0	269000	747000	320000	419000	695333.3333	374000	408666.6667	0	0	0	704333.3333	502666.6667	222000	159500	0	0	0	0	0	0	 catenin alpha-2 isoform 2 [Homo sapiens]
484	8136666.667	616500	494666.6667	2700000	9376666.667	751666.6667	5116666.667	601000	983333.3333	3766666.667	4520000	4207666.667	2386666.667	2620000	7230000	2246333.333	1051333.333	474333.3333	4933666.667	5523333.333	2043333.333	6743333.333	17800000	452333.3333	388500	546333.3333	436000	815333.3333	 catenin beta-1 [Homo sapiens]
485	0	0	0	0	7996666.667	2930000	4703333.333	5366666.667	2396666.667	7743333.333	5120000	2883333.333	5403333.333	4960000	3926666.667	3200000	2533333.333	2643333.333	3380000	8083333.333	2620000	2900000	2440000	1966666.667	1612333.333	1293333.333	361333.3333	510333.3333	 catenin delta-1 isoform 1ABC [Homo sapiens]
486	6183333.333	4573333.333	3640000	4663333.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 catenin delta-1 isoform 1AC [Homo sapiens]
